catalogNumber;genus;specificEpithet;scientificNameAuthorship;acceptedNameUsage;family;countryCode;locality;year;recordedBy;Image GUID
BERN-0065002;Pulmonaria;longifolia subsp. Glandulosa;Bolliger;Pulmonaria longifolia (Bastard) Boreau;Boraginaceae;PT;Road from Fundao to Alpedrinha, 0.1 km before the turnoff to Alcaide, on the right on the steep slope;1978;Bolliger Markus;9d7cf4ce-5e7f-43f3-8c8e-99553e648521
Sheet-0061968;Potamogeton;pusillus;L.;Potamogeton pusillus L.;Potamogetonaceae;CH;Sargans, halbinsel;1849;n.s.;67e2843e-0dd5-4d81-abec-cf1917d0422b
Sheet-0061944;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Schwarzsee, Davos-Laret;1948;Berger E.;48ebb7ad-ff89-470a-ba9c-07ed29108a6b
Sheet-0061945;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Schwarzsee, Davos-Laret;1948;Berger E.;95e989e8-eb92-4d3b-ba3a-db22566dedc4
Sheet-0061946;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Schwarzsee, Davos-Laret;1948;Berger E.;f400c55e-e50d-414f-8f00-f99d005c6396
Sheet-0061900;Potamogeton;friesii;Dupr.;Potamogeton pectinatus L.;Potamogetonaceae;CH;Shores of Zurich lake;0;Reynier;b5eca0af-a759-4ebc-8a4d-83438782e2b6
Sheet-0061899;Potamogeton;pectinatus;L.;Potamogeton pectinatus L.;Potamogetonaceae;CH;Shores of Zurich lake;0;Reynier;63e2044a-1d9f-484b-92e3-87d703d6abc4
BERN-0065020;Asplenium;Seelosii;Leybold;Asplenium seelosii Leybold;Aspleniaceae;ES;Sierra de Boumort;1908;Soulie J.;9e960bc2-35dc-4c19-a5d9-731420a4b006
BERN-0065020_1;Asplenium;Seelosii;Leybold;Asplenium seelosii Leybold;Aspleniaceae;ES;Sierra de Boumort;1908;Soulie J.;6e4577d3-8216-420d-8526-8f38b25ed434
BERN-0065029;Saxifraga;sp.;;Saxifraga sp.;Saxifragaceae;RU;Suedspitze der Insel Olchon, Bucht von Sagli;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;552ad731-978f-4718-91bd-25755e4ddeda
BERN-0065032;Parnassia;palustris;L.;Parnassia palustris L.;Saxifragaceae;RU;Suedteil der Insel Olchon;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;22fe2df4-ef5e-4db2-879d-f7b4489e0870
Sheet-0061936;Potamogeton;coloratus;Vahl;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Uttigen Station, on a hill;1898;Streun Rob.;95965f10-8092-47c0-92f6-5273a600aca7
BERN-0065022;Saxifraga;lingulata;Bell.;Saxifraga callosa Sm.;Saxifragaceae;FR;Vallon du Vernet;1963;Hauser E.;f9937959-3002-4451-9ff3-9980742aff62
BERN-0065017;Taraxacum;autumnaliforme;van Soest;Taraxacum autumnaliforme Soest;Asteraceae;FR;Viols-le-Fort;1964;Sutter Ruben;c35cd4df-eeca-44e9-a9d8-e45fdd1b1fa6
BERN-0065011;Taraxacum;autumnaliforme;van Soest;Taraxacum autumnaliforme Soest;Asteraceae;FR;Viols-le-Fort;1964;Sutter Ruben;4324a53b-10c1-40d5-a32e-8cce67d23f85
BERN-0065011_1;Taraxacum;autumnaliforme;van Soest;Taraxacum autumnaliforme Soest;Asteraceae;FR;Viols-le-Fort;1964;Sutter Ruben;1be4fe7b-8821-4ea2-8297-09fc4c3761d2
Sheet-0061938;Potamogeton;plantagineus Du;Croz ex Roem. & Schult.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Wabern, along the Aar, in Eichholzmoos;1898;n.s.;6a90b71e-8f7a-4eca-9548-fca90773d1f7
Sheet-0061939;Potamogeton;fluitans;Roth;Potamogeton fluitans Roth;Potamogetonaceae;CH;Yverdon;1940;Zwicky H.;10889a53-8a96-4ef5-85df-4dbf4fa4e8c7
BERN-0065027;Saxifraga;dahurica;Willd.;Micranthes davurica (Willd.) Small;Saxifragaceae;RU;Zwischen den Fluessen Schartla und Anjutcha;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;9a77a9ed-43d0-414c-9efe-32b58faffda6
BERN-0065028;Saxifraga;dahurica;Willd.;Micranthes davurica (Willd.) Small;Saxifragaceae;RU;Zwischen den Fluessen Schartla und Anjutcha;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;95b25eb4-d139-4d6a-968c-bba0fd927ce7
BERN-0065026;Saxifraga;spinulosa;Adam;Saxifraga spinulosa Adams;Saxifragaceae;RU;Zwischen den Fluessen Schartla und Anjutcha;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;4b5fb8ae-e020-412e-b833-dd5bed6a6c81
